ID;iata;icao;airportDescription;location;country
f6ec38f3-2278-4b19-814b-4c69b94f6b23;AOO;KAOO;Altoona-Blair County Airport;Altoona, Pennsylvania;USA
266fc8c7-6e6c-438b-b5da-eb973612f1b1;AOR;WMKA;Sultan Abdul Halim;Alor Setar;Malaysia
48ff344b-5610-4e1b-a443-0d20d9284b7c;AOT;LIMW;Aosta Airport (Corrado Gex Airport);Aosta;Italy
3d474336-eba3-4af6-bb90-fcaee08428fc;AOU;VLAP;Attopeu;Attopeu;Laos
0e481a5e-0ddd-4d42-862e-9e4677d18bbf;APB;SLAP;Apolo;Apolo;Bolivia
ec82a30e-95bf-4591-9bc9-1ed43d5140f1;APF;KAPF;Naples Municipal Airport;Naples, Florida;USA
29ce1cb2-ae77-4491-8d02-802064bbcda7;APL;FQNP;Nampula;Nampula;Mozambique
7269ea18-af59-4639-8179-a94b9507580a;APN;KAPN;Alpena County Regional Airport;Alpena, Michigan;USA
2e33a2fb-6ef3-4d42-bbc1-1ffa65296af6;AQB;MGQC;Quiche Airport;Quiche;Guatemala
5143ae6f-a3e2-41a6-a967-5fbc1d42f4b8;AQG;ZSAQ;Anqing Airport;Anqing;China - Peoples Republic
95f5ac83-594a-4eee-b258-ceee54e0fab0;AQJ;OJAQ;Aqaba Intl;Aqaba;Jordan
c2315c4d-2ed5-4a04-b8d2-d012fba4f479;AQP;SPQU;Rodriguez Ballon;Arequipa;Peru
c3e99cfe-2e87-46f3-81c0-5c3b8bd0c255;ARH;ULAA;Talagi Airport;Arkhangelsk;Russia
6e4ef208-60f6-4324-92df-247c7706c5d9;ARI;SCAR;Chacalluta Intl;Arica;Chile
d3c5d53c-3cae-4078-b4b9-309b4e3db050;ARK;HTAR;Arusha;Arusha;Tanzania
f156e391-6efb-4d5d-92b3-a836dbf14125;ARM;YARM;Armidale Airport;Armidale;Australia
1052ab31-a5e6-499c-922d-b8aa82da112a;ARN;ESSA;Arlanda;Stockholm;Sweden
61bd3aa7-a693-4827-ac79-ad557d3e020e;ARR;SAVR;Alto Rio Senguer Airport;Alto Rio Senguer;Argentina
c8b85afb-aca4-402e-b065-ee9c99cb1a6c;ARW;LRAR;Arad Intl Airport;Arad;Romania
b05a9bd8-3a17-4cfc-9812-059283eab986;ARY;YARA;Ararat Airport;Ararat;Australia
ec6a5186-cc22-4b87-a568-f949546918bb;ARZ;FNZE;N'zeto;N'zeto;Angola
0bb2edff-b012-4199-afa0-5374d3dc7d9f;ASB;UTAA;Ashgabat;Ashgabat;Turkmenistan
9763b841-dbe7-4e41-a95f-3fcb0e76871d;ASD;MYAF;Andros Town Intl Airport;Andros Town;Bahamas
85ff5062-42db-4279-ae10-9b2f29593b40;ASE;KASE;Aspen-Pitkin County Airport (Sardy Field);Aspen, Colorado;USA
c8b349cc-4edf-40ca-9c4d-10ae1c1f3e5b;ASF;URWA;Astrakhan Airport;Astrakhan;Russia
