ID;iata;icao;airportDescription;location;country
f1ae792c-48c1-4930-a002-fddcc1cbee77;SLC;KSLC;Salt Lake City Intl Airport;Salt Lake City, Utah;USA
298f9648-6cc9-4917-b0c0-d66fb50f470b;SMF;KSMF;Sacramento Intl Airport;Sacramento, California;USA
7b64745a-df26-4249-8eb9-53d984ef9173;SMX;KSMX;Santa Maria Public Airport (Capt G. Allan Hancock Field);Santa Maria, California;USA
25077970-2b9a-40ec-a1fd-0e5119cff37f;SNA;KSNA;John Wayne Airport;Santa Ana, California;USA
9102f8f9-fa0b-4218-9ed9-eb9cae4deec8;SPI;KSPI;Abraham Lincoln Capital Airport;Springfield, Illinois;USA
4e8cde71-fc7d-40e7-851a-eef8a2f4bee9;SPS;KSPS;Wichita Falls Municipal Airport / Sheppard Air Force Base;Wichita Falls, Texas;USA
8ded7476-8dff-4ef7-9ef8-619fe311ea86;SRQ;KSRQ;Sarasota-Bradenton Intl Airport;Sarasota / Bradenton, Florida;USA
5e8f79b7-7323-4ce1-8a7e-e71fe5a2a5df;STC;KSTC;St. Cloud Regional Airport;St. Cloud, Minnesota;USA
f100c343-2478-4850-86fb-2e7c47f1ce59;STL;KSTL;Lambert-St. Louis Intl Airport;St. Louis, Missouri;USA
34ae0dfb-e496-4d56-bceb-5ff868f67fa4;SUN;KSUN;Friedman Memorial Airport;Hailey, Idaho;USA
4d90a226-e845-4ca3-a680-86d9b7e5dcfc;SUX;KSUX;Sioux Gateway Airport (Col. Bud Day Field);Sioux City, Iowa;USA
7e521fa2-d6ad-497e-9526-023c3d0414e1;SWF;KSWF;Stewart Intl Airport;Newburgh, New York;USA
a270209b-17ed-47fa-aeb2-e0180240cbdb;SYR;KSYR;Syracuse Hancock Intl Airport;Syracuse, New York;USA
30959d53-e60b-4724-aead-0aef836689d5;TEX;KTEX;Telluride Regional Airport;Telluride, Colorado;USA
9c5e9c32-2207-421a-b1ad-3956e9fd27e5;TLH;KTLH;Tallahassee Regional Airport;Tallahassee, Florida;USA
92111798-c535-401a-8dcf-d69a0a4e163c;TOL;KTOL;Toledo Express Airport;Toledo, Ohio;USA
be0c84eb-7794-44cf-b04e-3d00571b8445;TPA;KTPA;Tampa Intl Airport;Tampa, Florida;USA
d404e70f-1e28-4360-be64-9caf667376a7;TRI;KTRI;Tri-Cities Regional Airport;Tri-Cities, Tennessee;USA
da383293-3ef2-4181-bd26-c9233aa54b98;TTN;KTTN;Trenton-Mercer Airport;Trenton, New Jersey;USA
85d55f25-6b39-4ab6-8b32-4398a6aba9ff;TUL;KTUL;Tulsa Intl Airport;Tulsa, Oklahoma;USA
95cd178d-45a9-4556-abd0-38916553b589;TUP;KTUP;Tupelo Regional Airport (C.D. Lemons Field);Tupelo, Mississippi;USA
0fda9d40-9c99-48bd-b7bb-bc7e205325bf;TUS;KTUS;Tucson Intl Airport;Tucson, Arizona;USA
623ff810-0b08-4ce6-800e-e1ee571732e7;TVC;KTVC;Cherry Capital Airport;Traverse City, Michigan;USA
64e5bc87-679b-49ca-b014-6144aa70db77;TWF;KTWF;Magic Valley Regional Airport (Joslin Field);Twin Falls, Idaho;USA
f1d5a577-3f30-4c64-a045-413d6a253950;TXK;KTXK;Texarkana Regional Airport (Webb Field);Texarkana, Arkansas;USA
7d25844b-9c57-47f9-bf7f-493344256ac6;TYR;KTYR;Tyler Pounds Regional Airport;Tyler, Texas;USA
f21ebb6b-d7a3-47be-a181-ebce0d4b3027;TYS;KTYS;McGhee Tyson Airport;Knoxville, Tennessee;USA
27367f09-a73b-46ff-b584-8f01aa79fc93;UIN;KUIN;Quincy Regional Airport (Baldwin Field);Quincy, Illinois;USA
c5c71f66-ec5d-4a76-bd6a-65a4a62ec5ed;UNV;KUNV;University Park Airport;State College, Pennsylvania;USA
f9480a5e-fdbd-4c65-936e-3528814bd862;VCT;KVCT;Victoria Regional Airport;Victoria, Texas;USA
c72beaa7-1152-4c48-bf23-9fffa03ea03b;VCV;KVCV;Southern California Logistics Airport;Victorville, California;USA
ae078fe4-0b10-431f-9fef-14f15216c3c5;VDZ;PAVD;Valdez Airport (Pioneer Field);Valdez, Alaska;USA
c86c0de4-3236-4f16-a17b-27a6e163aac3;VGT;KVGT;North Las Vegas Airport;Las Vegas, Nevada;USA
d29a2a6f-74e3-4948-8748-349576da90a7;VLD;KVLD;Valdosta Regional Airport;Valdosta, Georgia;USA
8aa108db-228e-4f67-8c36-c24a2e9d8f30;VPS;KVPS;Okaloosa Regional Airport / Eglin Air Force Base;Valparaiso, Florida;USA
a84f5314-ffb5-4bc2-b67c-ae223efd41a0;XNA;KXNA;Northwest Arkansas Regional Airport;Fayetteville, Arkansas;USA
28b889f3-f6de-40f8-bd14-17f4fb009318;YAK;PAYA;Yakutat Airport;Yakutat, Alaska;USA
e5ccb81e-1f20-4dfd-b4ff-e18e075c212c;YKM;KYKM;Yakima Air Terminal (McAllister Field);Yakima, Washington;USA
e88dcefd-08a1-4a6a-9929-db0c99871657;YUM;KYUM;Yuma Intl Airport / MCAS Yuma;Yuma, Arizona;USA
